구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도
공중화장실,의흥119안전센터 화장실,"대구광역시 군위군 의흥면 읍내길 23, 의흥119안전센터",대구광역시 군위군 의흥면 읍내리 468-1 의흥119안전센터,2,3,,36.176697,128.713907
공중화장실,의흥시장 화장실,"대구광역시 군위군 의흥면 읍내5길 7, 의흥시장",대구광역시 군위군 의흥면 읍내리 594-1 의흥시장,1,3,,36.174155,128.716319
공중화장실,연계주유소 화장실,대구광역시 군위군 의흥면 동부로 788,대구광역시 군위군 의흥면 연계리 1149-1,1,1,,36.168377,128.744038
공중화장실,강변주유소 화장실,대구광역시 군위군 의흥면 동부로 1270,대구광역시 군위군 의흥면 수서리 458,2,2,,36.174623,128.694336
공중화장실,나호교(신),,대구광역시 군위군 우보면 나호리 444-4,1,1,,36.188363,128.649601
공중화장실,나봉교 건너 좌측,,대구광역시 군위군 우보면 봉산리 691-1,1,1,,36.181219,128.62954
이동화장실,자전거도로 옆,,대구광역시 군위군 우보면 나호리 1231,1,1,,36.184532,128.623331
공중화장실,이화주유소 화장실,대구광역시 군위군 우보면 동부로 1616,대구광역시 군위군 우보면 이화리 792,1,1,,36.193792,128.667623
공중화장실,우보S-Oil주유소 화장실,대구광역시 군위군 우보면 이화길 118-1,대구광역시 군위군 우보면 이화리 1301-3,1,1,,36.194667,128.663477
공중화장실,우보시장 화장실,대구광역시 군위군 우보면 이화3길 6-15,대구광역시 군위군 우보면 이화리 1282,1,5,,36.19484,128.664202
공중화장실,우보우체국 화장실,"대구광역시 군위군 우보면 이화길 113, 군위우보우체국",대구광역시 군위군 우보면 이화리 1304-1,1,1,,36.194843,128.66296
공중화장실,우보면사무소 화장실,"대구광역시 군위군 우보면 이화길 105, 우보면사무소",대구광역시 군위군 우보면 이화리 1193-2,1,1,,36.194944,128.661804
이동화장실,대율리 입구 주차장 옆,,대구광역시 군위군 부계면 대율리 1357-1,2,4,,36.059177,128.654189
공중화장실,삼국유사테마파크화장실,대구광역시 군위군 의흥면 일연테마로 100,대구광역시 군위군 의흥면 이지리 1653,7,16,09:00~18:00,36.164019,128.696621
공중화장실,버스터미널 화장실,"대구광역시 군위군 군위읍 중앙길 12, 군위버스터미널",대구광역시 군위군 군위읍 동부리 670-8 군위버스터미널,1,5,,36.230002,128.568555
공중화장실,효령우체국 화장실,"대구광역시 군위군 효령면 치산효령로 2407, 군위효령우체국",대구광역시 군위군 효령면 중구리 209-8 군위효령우체국,1,1,09:00~18:00,36.156592,128.584368
공중화장실,의흥우체국 화장실,"대구광역시 군위군 의흥면 읍내2길 4, 의흥우체국",대구광역시 군위군 의흥면 읍내리 420-23 의흥우체국,1,4,09:00~18:00,36.175611,128.715422
공중화장실,부계우체국 화장실,"대구광역시 군위군 부계면 창평길 5, 군위부계우체국",대구광역시 군위군 부계면 창평리 895-2 군위부계우체국,2,2,,36.100489,128.663884
공중화장실,군위우체국 화장실,"대구광역시 군위군 군위읍 중앙길 82, 군위우체국",대구광역시 군위군 군위읍 서부리 56-1 군위우체국,2,2,09:00~18:00,36.235666,128.566905
